date_found,title,company,location,source,url,score,matched_keywords,warning_keywords,short_reason,hard_filter_status,hard_filter_reason,hard_filter_category,minimum_score_to_export
2026-06-16,Tender Specialist,Abbott AG,Switzerland &gt; Basel : H-127 A2,jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/ea157e08-64dd-439f-9781-9df6399b7c28,22,"basel, marketing, switzerland",,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Fashion Product Development Professional (Talent pool),,Amsterdam Temporary,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/other-positions/fashion-product-development-professional-talent-pool/vknDax8tPs5LSWLZeJixHc,22,"amsterdam, netherlands, product",,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Marketing Assistenz,Conception Werbung und Marketing GmbH,Siegen,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/conception-werbung-und-marketing-gmbh/marketing-assistenz-siegen-113607,22,"germany, marketing",,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Marketing Assistent,Henning Marketing,Rosenheim,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/henning-marketing/marketing-assistent-rosenheim-346483,22,"germany, marketing",,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Chief Marketing Officer - DACH,hellofresh,,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/hellofresh/chief-marketing-officer-dach-179663,22,"germany, marketing",,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Assistenz (m/w/d) Online-Marketing,Marketing Juwel GmbH,Berlin,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/marketing-juwel-gmbh/assistenz-online-marketing-berlin-327213,22,"berlin, germany, marketing",,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Performance Marketing Specialist (m/w/d) | 100% Homeoffice,Online Marketing United GmbH,Braunschweig,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/online-marketing-united-gmbh/performance-marketing-specialist-100-homeoffice-braunschweig-393785,22,"germany, marketing",,target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Global Engineering Manager - Grid & Power Quality Solutions and Service,Hitachi Energy AG,,jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/a0231176-a1b6-4f86-95af-ba4bd4267bdd,20,"business development, switzerland","engineer, manager",role fit; strong keyword match; target location; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,IoT Data Engineer,Sensirion AG,"Stäfa, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/b795334d-944a-4536-b969-c9f4bf87668b,20,"business development, switzerland","data engineer, engineer",role fit; strong keyword match; target location; seniority warning,exclude,"matched exclusion keyword: data engineer, engineer",warning_keywords,37
2026-06-16,Functional Lead Secondary Engineering Standardization Team 80 - 100% (f/m/d),Hitachi Energy AG,"Zurich, Zurich, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/1bd99171-7755-420d-ae10-0aad1b9bf842,20,"business development, switzerland, zurich","engineer, lead",role fit; strong keyword match; target location; seniority warning,exclude,"matched exclusion keyword: lead, lead","warning_keywords, negative_keywords.seniority",37
